Name_station,EVAPO,FF,INS,RR,"TT, moy. des max","TT, moy. des min",UMAX,UMIN,Date
dakar-yoff,3.1,5.4,7.3,0.0,27.212,19.445,89.806,48.741,1992-01-01
dakar-yoff,2.3,5.9,8.0,3.7,23.841,18.437,95.862,71.103,1992-02-01
dakar-yoff,3.0,5.9,7.9,0.0,25.0,17.158,88.29,47.0,1992-03-01
dakar-yoff,2.3,7.5,8.2,0.0,23.333,18.02,92.266,67.433,1992-04-01
dakar-yoff,2.1,5.3,6.8,0.6,25.935,20.371,90.774,65.967,1992-05-01
dakar-yoff,2.5,3.4,7.5,0.0,27.966,23.08,90.933,68.8,1992-06-01
dakar-yoff,2.5,2.8,7.4,49.2,28.967,24.38,90.29,72.645,1992-07-01
dakar-yoff,2.3,2.9,7.3,86.6,29.967,24.893,87.548,67.838,1992-08-01
dakar-yoff,2.0,2.2,6.8,48.9,30.456,24.56,91.133,70.733,1992-09-01
dakar-yoff,3.1,3.6,8.7,0.8,29.99,23.845,90.419,61.806,1992-10-01
dakar-yoff,4.5,4.0,6.1,0.3,29.96,22.72,82.033,41.2,1992-11-01
dakar-yoff,3.3,5.1,7.5,1.2,26.245,20.454,85.258,52.612,1992-12-01
dakar-yoff,3.4,4.3,5.6,0.8,24.716,18.122,83.387,43.967,1993-01-01
dakar-yoff,2.6,4.9,8.1,0.0,23.557,17.178,87.107,54.107,1993-02-01
dakar-yoff,2.4,4.7,9.0,0.0,24.4,17.909,91.677,62.935,1993-03-01
dakar-yoff,2.2,4.9,9.0,0.0,25.043,19.436,91.133,65.933,1993-04-01
dakar-yoff,2.7,5.0,8.6,0.0,25.803,20.261,86.967,65.129,1993-05-01
dakar-yoff,2.3,3.2,7.9,0.0,28.646,22.84,86.433,65.066,1993-06-01
dakar-yoff,2.7,2.9,6.8,65.3,30.064,24.541,84.741,64.677,1993-07-01
dakar-yoff,2.4,2.7,7.7,84.3,30.716,24.912,87.935,66.677,1993-08-01
dakar-yoff,2.1,2.6,7.3,166.5,30.613,24.456,90.033,68.3,1993-09-01
dakar-yoff,2.4,3.3,7.6,9.0,30.622,24.548,86.612,65.354,1993-10-01
dakar-yoff,3.0,4.4,8.0,0.0,26.47,20.57,87.233,55.333,1993-11-01
dakar-yoff,3.5,4.2,7.6,0.0,26.512,19.025,83.129,43.871,1993-12-01
dakar-yoff,3.7,4.6,7.8,0.0,24.629,16.683,85.322,42.419,1994-01-01
dakar-yoff,3.1,4.2,8.6,0.0,24.81,16.16,87.678,46.535,1994-02-01
dakar-yoff,2.6,4.6,8.5,0.0,24.112,17.032,89.838,58.064,1994-03-01
dakar-yoff,2.7,4.4,8.3,0.0,25.433,18.353,91.533,64.366,1994-04-01
dakar-yoff,2.0,3.7,8.7,0.0,25.529,19.403,92.322,69.58,1994-05-01
dakar-yoff,2.3,2.8,8.1,3.6,27.803,22.273,90.0,73.266,1994-06-01
dakar-yoff,2.8,2.9,7.3,2.9,29.564,23.98,83.645,64.838,1994-07-01
dakar-yoff,1.9,2.5,5.1,154.6,29.632,24.88,88.387,70.774,1994-08-01
dakar-yoff,2.0,2.5,7.3,89.2,29.896,25.02,87.733,69.1,1994-09-01
dakar-yoff,2.6,3.0,9.1,0.0,30.506,24.467,87.677,60.903,1994-10-01
dakar-yoff,3.1,3.3,7.6,0.0,29.61,23.126,87.0,51.333,1994-11-01
dakar-yoff,4.3,4.4,7.3,0.0,29.606,20.926,80.2,28.366,1994-12-01
dakar-yoff,4.1,4.4,8.0,0.0,25.716,17.98,80.032,29.903,1995-01-01
dakar-yoff,3.1,4.3,7.6,0.5,26.16,18.114,86.535,46.464,1995-02-01
dakar-yoff,2.1,4.4,9.8,0.0,23.28,17.651,89.871,63.096,1995-03-01
dakar-yoff,2.2,4.6,10.6,0.0,23.99,18.56,90.7,64.5,1995-04-01
dakar-yoff,2.1,4.1,10.1,0.7,26.006,20.787,90.451,66.903,1995-05-01
dakar-yoff,2.2,4.1,9.1,11.7,28.553,23.186,89.233,67.666,1995-06-01
dakar-yoff,2.8,3.9,7.6,58.9,30.68,25.671,84.645,63.935,1995-07-01
dakar-yoff,2.1,3.5,6.8,305.7,30.103,24.993,89.58,70.935,1995-08-01
dakar-yoff,1.9,2.5,7.2,57.3,31.16,24.84,90.133,69.6,1995-09-01
dakar-yoff,2.6,3.1,8.5,21.9,31.838,24.903,88.548,60.258,1995-10-01
dakar-yoff,2.9,3.6,8.8,0.0,31.716,22.146,90.466,45.633,1995-11-01
dakar-yoff,2.8,4.5,6.9,0.0,27.329,20.103,87.354,50.774,1995-12-01
dakar-yoff,2.5,4.9,10.0,0.0,25.709,17.787,90.387,55.516,1996-01-01
dakar-yoff,2.3,5.2,9.5,0.0,24.937,16.989,91.482,56.827,1996-02-01
dakar-yoff,2.1,5.5,8.1,0.5,24.596,17.803,91.064,61.903,1996-03-01
dakar-yoff,1.8,5.6,10.0,0.0,25.663,18.79,91.966,66.233,1996-04-01
dakar-yoff,2.8,6.0,9.3,0.0,27.151,20.632,87.967,62.096,1996-05-01
dakar-yoff,2.7,4.1,7.6,0.0,29.453,23.366,88.233,64.4,1996-06-01
dakar-yoff,2.7,3.5,6.7,75.7,30.416,24.748,86.451,65.645,1996-07-01
dakar-yoff,2.3,3.4,7.6,102.9,30.471,24.774,89.225,70.032,1996-08-01
dakar-yoff,2.0,3.4,8.3,240.4,30.35,24.67,91.31,72.0,1996-09-01
dakar-yoff,2.3,3.1,8.6,35.5,31.503,24.445,90.838,64.871,1996-10-01
dakar-yoff,3.7,4.1,7.5,0.0,30.943,22.223,87.9,41.033,1996-11-01
dakar-yoff,3.4,5.5,4.2,0.0,26.474,21.403,84.871,50.516,1996-12-01
dakar-yoff,3.0,5.2,7.6,0.0,25.88,19.012,88.032,48.612,1997-01-01
dakar-yoff,3.9,4.4,7.6,0.0,29.242,19.164,85.642,31.571,1997-02-01
dakar-yoff,3.3,5.4,7.8,0.0,27.141,18.848,86.935,45.29,1997-03-01
